title,expected
Graduate Software Engineer,1
Software Engineering Apprenticeship Programme,1
Software Engineer II,0
Software Engineer III,0
Senior Software Engineer,0
Senior Staff Software Engineer,0
Staff Backend Engineer,0
Senior Backend Engineer,0
Senior Platform Engineer,0
Machine Learning Platform Engineer,0
"Senior Machine Learning Scientist, Borrowing",0
Lead Data Scientist,0
Analytics Engineer,0
Senior Analytics Engineer,0
Staff Analytics Engineer,0
Lead Analytics Engineer,0
Senior Analytics Engineering Manager,0
"Machine Learning Manager, Fincrime",0
"Data Director, Workforce Systems & Service Performance",0
Lead Product Designer,0
Senior Product Designer,0
Staff Product Designer,0
Lead User Researcher,0
Tech Recruiter,0
"Credit Risk Manager, Flex Originations",0
Finance Business Partner,0
Financial Control Analyst,0
Enterprise Risk Manager,0
Operational Risk Manager,0
"Senior Legal Counsel, Business Banking",0
"PR Manager, Expansion Markets",0
"Product Marketing Lead, Core Banking",0
Technical Accounting & Advisory Senior Manager,0
"Service Analyst, Workforce Management",0
Security Awareness Analyst,0
Director of Fraud,0
Director of Partnerships,0
"Engineering Director, EU",0
"Engineering Director, Security",0
Engineering Manager,0
Finance Forecasting Modeller,0
Financial Crime Model Validation Manager,0
Financial Health Strategy Manager,0
Head of Prudential Risk,0
Lead Insurance Pricing Analyst,0
"Machine Learning Manager, Operations",0
"Product Director, Flex (Borrowing)",0
"Product Manager, Business Banking EU",0
"Product Operations Manager, Fixed Term Contract",0
Risk Assurance Manager,0
Senior Credit Analyst,0
Senior Engineering Manager,0
Senior Finance Business Partner,0
Senior Financial Risk Manager,0
"Senior Fraud Investigator, EU - English & Spanish Speaking",0
Senior Group Strategy Manager,0
"Senior Machine Learning Manager, Borrowing",0
"Senior Product Director, Business Banking",0
"Senior Product Manager, EU",0
"Senior Product Marketing Manager, Borrowing",0
Senior Staff Backend Engineer,0
Graduate Software Engineer 2027,1
Junior Software Developer,1
Software Engineer - Early Careers,1
Graduate Backend Engineer,1
Technology Graduate Programme,1
Junior Full Stack Developer,1
Intern Software Engineer,1
Associate Software Engineer,1